id,취미(선택)
101,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
101,자기계발 등 공부
101,"보드게임(부루마불, 할리갈리 등)"
101,식물 키우기
102,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
103,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
103,가무(노래 및 춤추기)
104,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
104,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
105,요리
105,독서
105,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
106,요리
106,예술 관련 관람 취미 (미술관 관람 등)
106,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
106,독서
106,가무(노래 및 춤추기)
106,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
106,자기계발 등 공부
106,요가
107,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
107,음주
107,가무(노래 및 춤추기)
107,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
108,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
108,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
108,음주
108,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
108,자기계발 등 공부
109,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
109,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
110,예술 관련 관람 취미 (미술관 관람 등)
110,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
110,독서
111,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
111,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
111,음주
112,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
112,독서
112,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
112,"달리기,산책"
113,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
113,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
114,요리
114,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
114,음주
114,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
114,"달리기,산책"
115,예술 관련 관람 취미 (미술관 관람 등)
115,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
115,독서
115,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
115,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
115,자기계발 등 공부
116,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
116,독서
117,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
117,독서
117,음주
117,캠핑
118,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
118,독서
118,"달리기,산책"
119,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
119,예술 관련 관람 취미 (미술관 관람 등)
119,음주
119,가무(노래 및 춤추기)
119,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
120,자기계발 등 공부
120,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
120,자전거
120,"달리기,산책"
121,자기계발 등 공부
121,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
121,자전거
122,"악기 연주( 현악, 관악 등 모두 가능)"
122,요리
122,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
122,독서
122,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
122,자기계발 등 공부
122,"달리기,산책"
122,여행
123,"악기 연주( 현악, 관악 등 모두 가능)"
123,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
123,자전거
123,"달리기,산책"
124,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
124,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
124,자기계발 등 공부
125,음주
126,"악기 연주( 현악, 관악 등 모두 가능)"
126,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
126,독서
126,음주
127,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
127,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
127,독서
127,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
127,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
128,"악기 연주( 현악, 관악 등 모두 가능)"
128,독서
128,자기계발 등 공부
128,"달리기,산책"
129,"악기 연주( 현악, 관악 등 모두 가능)"
129,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
129,예술 관련 관람 취미 (미술관 관람 등)
129,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
129,독서
129,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
129,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
129,자기계발 등 공부
129,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
129,"보드게임(부루마불, 할리갈리 등)"
129,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
129,"동계 스포츠 활동 참여(스키, 스노보드 등)"
130,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
130,음주
130,자기계발 등 공부
130,"달리기,산책"
131,요리
131,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
131,독서
131,음주
131,가무(노래 및 춤추기)
131,자기계발 등 공부
131,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
131,"동계 스포츠 활동 참여(스키, 스노보드 등)"
131,"달리기,산책"
132,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
132,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
132,독서
132,음주
132,자기계발 등 공부
132,자전거
132,"달리기,산책"
133,독서
133,음주
133,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
133,자기계발 등 공부
133,"달리기,산책"
134,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
135,"악기 연주( 현악, 관악 등 모두 가능)"
135,요리
135,독서
135,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
135,"영상 창작 활동(영화, 연극 등 제작 혹은 참여)"
135,자기계발 등 공부
135,"동계 스포츠 활동 참여(스키, 스노보드 등)"
136,"악기 연주( 현악, 관악 등 모두 가능)"
136,요리
136,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
136,독서
136,음주
136,자기계발 등 공부
136,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
136,"보드게임(부루마불, 할리갈리 등)"
136,클라이밍
137,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
